class,precision,recall,f1,support
aihole_durga_temple,0.960,0.973,0.966,74
aihole_ravanaphadi,1.000,0.909,0.952,11
badami_bhutanatha,0.845,0.961,0.899,51
badami_c1_ardhanarishvara,1.000,1.000,1.000,4
badami_c1_harihara,1.000,1.000,1.000,4
badami_c1_mahishasuramardini,1.000,1.000,1.000,3
badami_c1_nataraja,1.000,1.000,1.000,7
badami_c2_trivikrama,1.000,1.000,1.000,4
badami_c2_varaha,1.000,1.000,1.000,3
badami_c3_narasimha,1.000,1.000,1.000,5
badami_c3_seated_vishnu,1.000,1.000,1.000,9
badami_c3_trivikrama,1.000,1.000,1.000,4
badami_c3_varaha,1.000,1.000,1.000,2
badami_c4_bahubali,1.000,1.000,1.000,5
badami_c4_parshvanatha,1.000,1.000,1.000,4
badami_cave_exterior,0.972,0.875,0.921,40
badami_ceiling_reliefs,1.000,1.000,1.000,14
pattadakal_galaganatha,0.864,0.864,0.864,22
pattadakal_jambulinga,0.600,1.000,0.750,6
pattadakal_kadasiddheshvara,0.000,0.000,0.000,4
pattadakal_kashivishveshvara,0.333,0.333,0.333,3
pattadakal_mallikarjuna,0.000,0.000,0.000,6
pattadakal_nandi,0.833,0.833,0.833,6
pattadakal_sangameshvara,0.571,0.889,0.696,18
pattadakal_virupaksha,0.778,0.400,0.528,35
